143	-128.9401002 -135.89887212000002 -173.32984385999995 -173.08006819999994 -166.42314249999995 -78.9111225 -69.56371899999999 -61.30231804000002 -76.96028520000002 -106.88744952000005
144	-43.5901208 -40.301043060000005 -54.56464169000001 -54.28745170000001 -53.25540560000001 -128.58857720000006 -105.39420920000003 -87.77571017 -76.66128373620002 -58.982137667410015
145	-107.36755649999999 -100.31213070000001 -133.4756968135 -153.50477831999999 -159.76621679999997 -148.65136076000007 -128.25628260000002 -106.33311921999999 -99.02063351000004 -103.73567567110001
146	-102.4958151 -96.89201878 -125.09200600000003 -140.21702946000002 -139.7954397 -196.57391353 -160.86826929999995 -139.36170970999996 -120.57885866000001 -121.84749683436002
147	-68.69753430000002 -80.23221006000001 -99.85388550000002 -93.19695980000002 -86.54003410000001 -137.48812180000007 -112.63073829999998 -93.22945349999999 -78.35956764699999 -90.28750593223003
148	-33.394472799999996 -29.640169059999998 -37.494806090000004 -40.77444465000001 -39.941554200000006 -91.6034946 -76.67800570000001 -61.127721120000004 -53.57911065620001 -37.488466057
149	-78.2239544 -68.71376146000001 -97.36240902400003 -106.56055479600002 -106.51081120000002 -148.69562003000004 -121.51081619999998 -102.38568817999999 -80.98368782 -66.40135762259999
150	-30.122932099999996 -37.10242154 -46.59847990000001 -39.941554200000006 -33.284628500000004 -87.12752360000002 -73.8139188 -57.34580234 -50.951903156200004 -41.97546988884401
151	-83.18700749999999 -101.12489757 -117.84472205000002 -126.48158830000003 -119.82466260000002 -170.26052701000003 -144.50712194999994 -121.33468881000003 -108.21932605999999 -106.87900666895762
152	-31.029877700000004 -30.19962976 -28.57738293 -33.284628500000004 -26.6277028 -82.92804130000002 -68.6533874 -57.94619231 -46.30923122000001 -37.974425438
153	-50.271922399999994 -58.73427170000001 -68.01122554000001 -67.0930014 -66.56925700000001 -100.06979620000001 -82.98420000000002 -70.39952530000001 -69.43444334 -72.87081640915001
154	-110.4548317 -121.47029626000003 -160.77622509999998 -159.76621679999997 -153.10929109999998 -203.3306946300001 -164.53892229999994 -138.77333074000006 -116.07007770999998 -105.53794426793002
155	-79.06168469999999 -74.55876414000001 -104.39989657000001 -113.16773690000002 -106.51081120000002 -169.65248119000006 -139.69793349999995 -119.85561806000003 -107.29410419999998 -117.6161693882795
156	-62.66916079999999 -76.89611476000002 -106.51081120000002 -99.85388550000002 -93.19695980000002 -107.06100509000001 -89.6255229 -76.11684084999996 -72.33091623000001 -88.48277881670005
157	-118.92606180000001 -105.84954828000002 -139.608832294 -166.72708419399996 -173.08006819999994 -255.3634122 -202.4620416 -170.49141422 -140.71568461999996 -109.73300316380002
158	-99.52025869999999 -94.09737576 -131.27774960000002 -146.4523654 -139.7954397 -163.45450433000008 -133.38952410000002 -116.67481019000003 -98.00789547 -96.59494677555954
159	-83.6342513 -78.69962191000002 -122.64701043000002 -126.48158830000003 -119.82466260000002 -167.85130203000003 -136.76681099999996 -115.29563795000003 -104.85379695999997 -112.15866428357003
160	-62.6621166 -66.13679436000001 -99.85388550000002 -93.19695980000002 -86.54003410000001 -126.74833130000002 -102.21655410000001 -83.80057736000002 -66.57075001999998 -64.03726085697001
